paper_id,primary_area,total_tokens_est,synth_errors_applied_count
N8Oj1XhtYZ,generative models,59649,16
Fur0DtynPX,"applications to physical sciences (physics, chemistry, biology, etc.)",33894,16
SnDmPkOJ0T,"foundation or frontier models, including LLMs",41580,14
vzItLaEoDa,reinforcement learning,46133,14
9pW2J49flQ,reinforcement learning,47268,17
vaEPihQsAA,"applications to computer vision, audio, language, and other modalities",47225,16
zl0HLZOJC9,"other topics in machine learning (i.e., none of the above)",33601,14
o5TsWTUSeF,"applications to computer vision, audio, language, and other modalities",69125,15
Wr3UuEx72f,generative models,38777,14
f4gF6AIHRy,"other topics in machine learning (i.e., none of the above)",39347,18
6s5uXNWGIh,datasets and benchmarks,32878,14
KIgaAqEFHW,datasets and benchmarks,28981,16
QQBPWtvtcn,"applications to computer vision, audio, language, and other modalities",31339,15
aWXnKanInf,applications to neuroscience & cognitive science,48624,16
84pDoCD4lH,"foundation or frontier models, including LLMs",67724,12
UHPnqSTBPO,"alignment, fairness, safety, privacy, and societal considerations",29042,16
5IkDAfabuo,reinforcement learning,30448,15
SctfBCLmWo,datasets and benchmarks,23324,17
FIj9IEPCKr,"transfer learning, meta learning, and lifelong learning",44931,16
mtSSFiqW6y,"foundation or frontier models, including LLMs",40500,17
gc8QAQfXv6,"transfer learning, meta learning, and lifelong learning",49207,15
sbG8qhMjkZ,learning theory,26687,11
51WraMid8K,"alignment, fairness, safety, privacy, and societal considerations",27841,11
fAAaT826Vv,"applications to computer vision, audio, language, and other modalities",29349,15
k3tbMMW8rH,generative models,60194,14
kbjJ9ZOakb,applications to neuroscience & cognitive science,22497,15
ja4rpheN2n,learning on graphs and other geometries & topologies,34985,16
kGvXIlIVLM,generative models,48819,14
JWtrk7mprJ,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)",62072,15
GRMfXcAAFh,learning on time series and dynamical systems,26366,11
NO6Tv6QcDs,learning theory,44587,13
Pujt3ADZgI,reinforcement learning,18218,15
tyEyYT267x,generative models,30289,15
v593OaNePQ,reinforcement learning,37570,16
xoIeVdFO7U,reinforcement learning,46493,16
odjMSBSWRt,"alignment, fairness, safety, privacy, and societal considerations",34034,18
WOzffPgVjF,"applications to computer vision, audio, language, and other modalities",46984,14
P4o9akekdf,"applications to computer vision, audio, language, and other modalities",45299,14
CjwERcAU7w,"foundation or frontier models, including LLMs",39600,12
QFO1asgas2,reinforcement learning,34333,14
3i13Gev2hV,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",60173,15
t7P5BUKcYv,"foundation or frontier models, including LLMs",50061,13
k38Th3x4d9,interpretability and explainable AI,25633,14
CRmiX0v16e,"applications to computer vision, audio, language, and other modalities",21693,11
ZuazHmXTns,optimization,38692,16
FVuqJt3c4L,applications to neuroscience & cognitive science,49468,15
Xo0Q1N7CGk,"unsupervised, self-supervised, semi-supervised, and supervised representation learning",46304,14
5U1rlpX68A,"transfer learning, meta learning, and lifelong learning",30153,16
LbEWwJOufy,"applications to computer vision, audio, language, and other modalities",29934,16
xyfb9HHvMe,"applications to computer vision, audio, language, and other modalities",37111,16
VpWki1v2P8,optimization,28155,13
QKBu1BOAwd,"other topics in machine learning (i.e., none of the above)",36773,13
VVixJ9QavY,causal reasoning,65594,14
